game date,grade,round,game status,venue,playing surface,game time,home team,home team score,home team result,home team players in lineup,home team player points used,away team,away team score,away team result,away team players in lineup,away team player points used,bye
28/05/2023,MR1 Doug Gracie Cup,Round 8,Upcoming,St Pauls Collegiate,St Pauls Collegiate,15:30,OneStaff Wanderers Reserve Men,,,,,Collegians New World,,,,,
28/05/2023,MR1 Doug Gracie Cup,Round 8,Upcoming,Gallagher Hockey Centre,Lugtons Turf 2,19:30,Suburbs Prem Dev Men,,,,,Varsity Pioneer M,,,,,
28/05/2023,MR1 Doug Gracie Cup,Round 8,Upcoming,Gallagher Hockey Centre,Lugtons Turf 2,16:40,TA Finnz,,,,,Thames Valley United,,,,,
28/05/2023,MR1 Doug Gracie Cup,Round 8,,,,,,,,,,,,,,,Harrisons Solar Old Boys
28/05/2023,MR2 HHA Shield,Round 10,Upcoming,St Pauls Collegiate,St Pauls Collegiate,14:00,Hamilton Old Boys Jnr Development,,,,,Northcare Dental Old Boys,,,,,
28/05/2023,MR2 HHA Shield,Round 10,Upcoming,Gallagher Hockey Centre,Lugtons Turf 2,13:50,TA Hamilton Radiology,,,,,Suburbs Pastits,,,,,
28/05/2023,MR2 HHA Shield,Round 10,Upcoming,Gallagher Hockey Centre,Lugtons Turf 2,15:15,Fraser Tech Reserve Men,,,,,Morrinsville Mens Hockey Club,,,,,
28/05/2023,MR2 HHA Shield,Round 10,Upcoming,Gallagher Hockey Centre,Lugtons Turf 2,18:05,Varsity R2 Men,,,,,Suburbs Saints,,,,,
28/05/2023,MR3 Des Meads Trophy,Round 10,Upcoming,Gallagher Hockey Centre,Lugtons Turf 2,11:00,Suburbs Reserve Men,,,,,TA Absolute Storage,,,,,
28/05/2023,MR3 Des Meads Trophy,Round 10,Upcoming,Gallagher Hockey Centre,Lugtons Turf 2,9:35,Varsity Storage King,,,,,Fraser Tech Social,,,,,
28/05/2023,MR3 Des Meads Trophy,Round 10,Upcoming,Gallagher Hockey Centre,Lugtons Turf 2,12:25,Penny's Bookstore Old Boys,,,,,Hamilton Wanderers Reserve 3,,,,,
28/05/2023,MR3 Des Meads Trophy,Round 10,,,,,,,,,,,,,,,Concept Joinery Old Boys
11/06/2023,MR1 Doug Gracie Cup,Round 9,Upcoming,Gallagher Hockey Centre,Lugtons Turf 2,16:40,Thames Valley United,,,,,Collegians New World,,,,,
11/06/2023,MR1 Doug Gracie Cup,Round 9,Upcoming,Gallagher Hockey Centre,New World Te Rapa Turf 1,17:50,TA Finnz,,,,,OneStaff Wanderers Reserve Men,,,,,
11/06/2023,MR1 Doug Gracie Cup,Round 9,Upcoming,Gallagher Hockey Centre,Lugtons Turf 2,19:30,Harrisons Solar Old Boys,,,,,Suburbs Prem Dev Men,,,,,
11/06/2023,MR1 Doug Gracie Cup,Round 9,,,,,,,,,,,,,,,Varsity Pioneer M
